threat_collection,domain,file_hash,file_name,file_path,file_size,ip,src_user,url
file_intel,,cd8b0c19fd81bfaccf3d1df9c472023a a354e92acc2473e89b2cab87538749c93b787144a96b1de2f8bd4894de7a62eaf022aaafbfeb49669301f4922fb4a3703f378e62499f240dc35ef80ca9dbffe8 a3960980828a6c0279d40a273194515c7787b17522c8a5d0a8237f38c6f5d02e 84f71020c1b7fbd8a9ea830b6a05585943197b02,,,,,,
file_intel,,cb26b62d1e65fbd37b17d80d384e3202 130d686c76bca65bd16d17954979b7c8d23870d725e3aa7087108c40f2b7f4bd 315e635cc492b0691e870aac3795d435bd49f573 e7d51bb93e9a5407bed8064dfdea708fa788eaaef98bc7ed93a099dcddebcefb5bb521f4bab043fa3b9f1d0ed73bcc39d1972f4f7f71a4d66c50ea8948328bc2,,,,,,
file_intel,,0b6ce60fac3d689c1ed3aff864c78c22149372d8a7407c8bb50da09c46541d77 1b5e159a29d82e57baea005f86823a3a7e404e94 6bcf15768da48dfb028ffbcec1fb35baa4697c8fac6f90bdcff2b4b385d622375eb1f2bfe5682b8e012988b947d3287c830103eef2a490f5a29ec1ea89938ca2 cc027ac49ac8aaf07b52602981f9826f,,,,,,
file_intel,,c2f9cffc6d00e99e6b0b96b698ab06e9 8e2f1903a4f8515a40b2506a744fb5756cdaac3eea04e4320cfec0562afd7336 884113570d8122861fd2f94212d4c13cfcd38774c514e47a2fcdf52abcf129c1ed15965da03d3b09ac518b41fe8f91b03177d4d7f108fd4e559f6baa7c022d4f 05b3d0d31391a63d91e2a54227de787a99eeedd3,,,,,,
file_intel,,6ca6a4fe1b3bd6c98d52c46856424cb7b4429b71567b163868c84f32c754d8d6 a338a893e3f480fa2b71610fb716db625312a3148478390a184d857fe79fd1851e1129a335ac6be96496586b3ba60d4ac6fccebefbb2b298d7fedd34ba7d1774 cb25a4c84d5de7312f40939ee68dcfa5 62801846ccc047d454b3b8ed7b2bc66b923f537b,,,,,,
file_intel,,73473af511f0b6bdbaf84589b75355a41631b426ac56e7ecf1971d1b8f6cacbf 6c40403faf51c37f7a8ee48cc177dbe1 edeb93f16a564fe7afd85aab02f08d80956eb256712c50f89b73f3a1a57b4434585d319309bbbcaf409f27171692ae26de661b1e7a5adba26b3d77bfc22c8bbb 8cd1b60f281fd570bb9ac8ee52e09283b298b2a4,,,,,,
file_intel,,fbe88e5d2e72de6d152640d0b207264d 7696949df8a486ae2f9e743b32e245a737f3ecbf41d27ed0ac7bd8b49cc41a9c369c2e22621e1e769bcc154711efff0afd6443e531fccddd0cf5f3f1449436c9 2cd323e3c67fdf6b7e04f6cba19fe94e3dc653111aeec65498cef02c3e212196 0fb31b984dbfd44074f5826c0a93185b65ac8210,,,,,,
file_intel,,d183163af36634261d8cf5209c01f301 6da42f6bf2f161837ab8fa630e8ad775195c8e99ec400a0b7a08553dad98051c97849e574bac3967adb95db7ef4da46fe5654fe238c1ec5fc899178f54c4aeea 8031d772f0d0c70a663971cbceefc9afb74e85e7 837369dbc02ed47dc149c2636ddfc84b4e3bfee27c4d5881586b8bce5adaff04,,,,,,
file_intel,,d77f7442bf240a3724e3e8b6eb65a648 6b26f96bc81a6898fc38d2d1c6868770a679ff07df913de00f4934c41a1b394552e04432100c257401d52ca57f2196d7d3afb0f2c59b6e15e920554e6aaab4b1 fd61d79b8bf2ed1fc4189512d7ed07e4960148c4d67ffead8d7e151f5ea7f22c e5fce4ea19436ed26faae23413cb33a181829ed9,,,,,,
file_intel,,b0a0cc0bd6e12db1f4ea3387c6febc58343a8bd7 e41e74b2ddb95bfeb71f29c29919bd95194d5c2a6ab1d97b974ff00a9663ab94f2dd8dec63a2df05380ebd32afffbb3604f19a56129ede93489a1c6845247609 61693c01263daf6e8dd3999963a68286 d91ed7e0a7ffd5d36faefb2d8d2ed5ac386e127838f9e96fde508d8cd21db177,,,,,,
